jurisdiction,year,prisoner_count,state_population,incarceration rate (%)
ALABAMA,2001,24741,4468912,0.553624685
ALASKA,2001,4570,633630,0.721241103
ARIZONA,2001,27710,5306966,0.522143914
ARKANSAS,2001,11489,2694698,0.426355755
CALIFORNIA,2001,157142,34600463,0.454161553
COLORADO,2001,17278,4430989,0.38993552
CONNECTICUT,2001,17507,3434602,0.509724271
DELAWARE,2001,6841,796599,0.858775871
FLORIDA,2001,72404,16373330,0.44220693
GEORGIA,2001,45937,8405677,0.546499705
HAWAII,2001,5116,1227024,0.41694376
IDAHO,2001,5270,1320585,0.399065566
ILLINOIS,2001,44348,12520227,0.35421083
INDIANA,2001,19646,6126743,0.32065977
IOWA,2001,7962,2931967,0.271558309
KANSAS,2001,8574,2702125,0.317305824
KENTUCKY,2001,10720,4068816,0.263467308
LOUISIANA,2001,19660,4470368,0.439784823
MAINE,2001,1675,1284470,0.13040398
MARYLAND,2001,23739,5386079,0.440747341
MASSACHUSETTS,2001,10203,6401164,0.159392885
MICHIGAN,2001,48849,10006266,0.488184104
MINNESOTA,2001,6406,4984535,0.128517505
MISSISSIPPI,2001,15131,2859733,0.52910534
MISSOURI,2001,28575,5637309,0.506890788
MONTANA,2001,2795,905382,0.308709473
NEBRASKA,2001,3915,1720039,0.227611118
NEVADA,2001,9862,2097722,0.470129026
NEW HAMPSHIRE,2001,2419,1259359,0.192081845
NEW JERSEY,2001,26052,8511116,0.306093819
NEW MEXICO,2001,5668,1830935,0.309568608
NEW YORK,2001,67554,19084350,0.353975902
NORTH CAROLINA,2001,32203,8206105,0.392427345
NORTH DAKOTA,2001,1088,636550,0.170921373
OHIO,2001,44868,11389785,0.393931931
OKLAHOMA,2001,21719,3469577,0.62598409
OREGON,2001,10950,3473441,0.315249345
PENNSYLVANIA,2001,37641,12303104,0.305947182
RHODE ISLAND,2001,3364,1059659,0.317460617
SOUTH CAROLINA,2001,21719,4062125,0.534670893
SOUTH DAKOTA,2001,2799,758324,0.369103444
TENNESSEE,2001,17466,5749398,0.303788327
TEXAS,2001,148480,21370983,0.694773844
UTAH,2001,4145,2278712,0.181901004
VERMONT,2001,1400,612978,0.228393189
VIRGINIA,2001,31472,7196750,0.437308507
WASHINGTON,2001,15226,5993390,0.254046541
WEST VIRGINIA,2001,3403,1800975,0.188953206
WISCONSIN,2001,20766,5405947,0.384132512
WYOMING,2001,1487,493754,0.301162117
ALABAMA,2002,25100,4478896,0.560405957
ALASKA,2002,4351,641482,0.678273124
ARIZONA,2002,29359,5441125,0.539575915
