,Deaths,Population,Overdose Rate,Unemployment Rate,Median Income,prisoner_count,incarceration rate (%)
0,216,4467634,4.8915,5.1,49973,24741,0.553624685
1,211,4480089,4.7619,4.5,54555,25100,0.560405957
2,197,4503491,4.4333,3.3,63938,27614,0.613136767
3,283,4530729,6.3542,2.6,68718,25635,0.566472392
4,283,4569805,6.332999999999999,3.0,59892,24315,0.53459217
5,398,4628981,8.7498,4.4,70145,24103,0.524088775
6,511,4672840,11.0885,4.9,58728,25253,0.545674439
7,607,4718206,12.9811,5.4,80108,25363,0.544048564
8,630,4757938,13.6077,3.9,55821,27241,0.578523875
9,547,4779736,11.7688,3.9,54644,27345,0.571425467
10,552,4802740,11.7632,3.4,65012,26813,0.558175186
11,562,4822023,12.0706,2.9,72812,26768,0.555637663
12,598,4833722,12.7176,3.1,73034,26825,0.554923918
13,723,4849377,15.1532,5.2,70489,26145,0.53914142
14,736,4858979,15.6639,4.6,49781,25212,0.518874438
15,756,4863300,16.2075,4.4,62283,23745,0.488525464
16,62,633714,9.3983,4.4,64524,4570,0.721241103
17,84,642337,12.1995,5.5,69165,4351,0.678273124
18,83,648414,12.7245,3.5,54434,4472,0.689825384
19,86,659286,12.7164,4.3,61633,4534,0.68931441
20,79,666946,11.3744,3.3,66505,4798,0.723404191
21,76,675302,11.0604,3.2,53369,5052,0.753970208
22,72,680300,10.0941,5.2,67274,5151,0.753645326
23,127,687455,18.1345,5.6,48283,4997,0.728114668
24,131,698895,17.8528,4.5,74176,5472,0.783423268
25,83,710231,11.5962,2.7,81346,5369,0.751807053
26,107,722718,14.2364,4.0,61864,6216,0.858729589
27,129,731449,17.4251,2.8,67575,6308,0.863746342
28,105,735132,14.3519,5.3,57679,5081,0.689174361
29,124,736732,16.7585,3.3,61726,6323,0.858249676
30,122,738432,15.9606,5.1,42781,5247,0.710559672
31,128,741894,16.8331,2.8,71817,4378,0.590407297
32,552,5273477,10.9008,3.7,62318,27710,0.522143914
33,624,5396255,12.005,2.4,72780,29359,0.539575915
34,674,5510364,12.7405,2.8,74172,31084,0.557138612
35,744,5652404,13.6816,4.9,69759,32384,0.564193078
36,794,5839077,14.135,4.3,48829,33345,0.560137087
37,876,6029141,14.9163,4.0,61125,35752,0.579794944
38,943,6167681,15.7117,6.4,72231,37700,0.594754017
39,828,6280362,13.5455,4.6,51113,39455,0.606983191
40,1002,6343154,16.1338,4.6,62539,40544,0.61469625
41,1098,6392017,17.4977,3.1,62629,40130,0.625744758
42,1071,6482505,16.8532,6.5,50573,39949,0.617706111
43,1134,6553255,17.6797,4.9,79726,40013,0.610778354
44,1222,6626624,18.7376,2.7,77151,41031,0.618402691
45,1211,6731484,18.1685,3.0,70066,42136,0.625954099
46,1274,6828065,19.0161,3.5,77067,42204,0.618096049
47,1382,6931071,20.2697,4.7,59785,42248,0.611523943
48,126,2691571,4.846,4.2,56550,11489,0.426355755
49,176,2705927,6.8274,2.8,59619,11849,0.437835425
50,184,2724816,7.0314,5.0,59087,12068,0.442412018
51,230,2749686,8.6534,3.6,56885,12577,0.457345455
52,269,2781097,10.0735,5.4,43441,12455,0.448714346
53,285,2821761,10.4539,3.2,71920,12854,0.457295814
54,301,2848650,10.8886,3.6,57700,13275,0.4682875
55,360,2874554,13.0512,2.7,73227,13135,0.460007214
56,351,2896843,12.5975,3.6,81084,13338,0.461610341
57,350,2915918,12.5146,3.4,51664,14192,0.485763222
58,355,2937979,12.6401,5.3,43903,14090,0.479482962
59,373,2949131,13.0962,4.2,51348,14043,0.476061655
60,319,2959373,11.0713,3.6,57872,14295,0.48314077
61,356,2966369,12.55,2.6,63481,15250,0.514096527
62,392,2978204,13.8454,3.1,58873,15784,0.529983843
63,401,2988248,13.9917,4.3,64609,15833,0.52984525
64,1226,34479458,3.6186,5.5,45392,157142,0.454161553
65,2975,34871843,8.6703,5.2,75418,159695,0.45624554
66,3108,35253159,8.9283,2.3,71293,161785,0.456211584
67,3125,35574576,8.8191,2.8,63805,163939,0.457393076
68,3214,35827943,8.9735,3.3,71319,168035,0.464773792
69,3494,36021202,9.6031,4.3,59295,172298,0.472598967
70,3854,36250311,10.4807,3.9,55240,171444,0.469025775
71,3863,36604337,10.3705,2.5,56894,171085,0.465452987
72,4056,36961229,10.7369,3.8,54971,168830,0.456770561
73,4057,37253956,10.5598,4.1,66390,162821,0.436070857
74,4180,37691912,10.7344,4.1,63173,147578,0.391620482
75,4040,38041430,10.2923,5.1,64610,132935,0.349830071
76,4452,38332521,11.1379,3.0,55006,134339,0.349555375
77,4521,38802500,11.102,4.0,59768,134430,0.34644675
78,4659,39144818,11.3219,3.0,59886,127815,0.326518315
79,4654,39250017,11.2218,3.7,50343,129416,0.32933233
80,411,4425687,8.9896,5.7,42196,17278,0.38993552
81,448,4490406,9.7169,5.2,45369,18636,0.414036633
82,502,4528732,10.7497,4.2,56810,19450,0.427695023
83,518,4575013,10.9393,3.3,59094,19655,0.427113527
84,608,4631888,12.6913,4.2,56094,21063,0.451676336
85,627,4720423,12.8239,5.3,61386,22051,0.463901769
86,734,4803868,14.7299,5.1,56564,22666,0.466233263
87,749,4889730,14.7725,4.5,72133,23211,0.469910047
88,769,4972195,14.9699,4.0,53527,22725,0.452261487
89,654,5029196,12.6675,4.7,51176,22752,0.450740655
90,843,5116796,16.1231,3.5,58046,21862,0.427300812
91,807,5187582,15.0082,3.1,75923,20328,0.391717208
92,846,5268367,15.5429,3.8,70566,20184,0.382846562
93,899,5355866,16.2953,5.4,66637,20469,0.382179091
