FIPS,Year,State,FIPS State,County,Population,Model-based Death Rate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit,Urban/Rural Category,Census Division
37001,2003,North Carolina,37,"Alamance County, NC","136,009",8.325864788,1.472935635,5.869786929,11.62855696,Small Metro,5
37001,2004,North Carolina,37,"Alamance County, NC","137,619",6.816016638,1.245429634,4.756549997,9.625558592,Small Metro,5
37001,2005,North Carolina,37,"Alamance County, NC","139,311",10.0547812,1.705765463,7.177474178,13.84997383,Small Metro,5
37001,2006,North Carolina,37,"Alamance County, NC","141,462",10.50584031,1.760729032,7.529669263,14.41761979,Small Metro,5
37001,2007,North Carolina,37,"Alamance County, NC","144,712",10.70574045,1.778055353,7.693931025,14.65002072,Small Metro,5
37001,2008,North Carolina,37,"Alamance County, NC","147,704",13.71484391,2.13791443,10.03790593,18.40590002,Small Metro,5
37001,2009,North Carolina,37,"Alamance County, NC","149,954",12.50493415,1.987375972,9.104648135,16.88243667,Small Metro,5
37001,2010,North Carolina,37,"Alamance County, NC","151,198",9.651689596,1.624536943,6.911047846,13.26576481,Small Metro,5
37001,2011,North Carolina,37,"Alamance County, NC","152,857",13.0997342,2.048484139,9.581688872,17.5995054,Small Metro,5
37001,2012,North Carolina,37,"Alamance County, NC","153,471",13.30459103,2.069614031,9.741356152,17.84189924,Small Metro,5
37001,2013,North Carolina,37,"Alamance County, NC","154,417",12.38709267,1.959591719,9.032300645,16.70145528,Small Metro,5
37001,2014,North Carolina,37,"Alamance County, NC","155,698",13.60877887,2.098145457,9.995785541,18.20855376,Small Metro,5
37001,2015,North Carolina,37,"Alamance County, NC","157,389",12.66588709,1.982719944,9.259291057,17.01970149,Small Metro,5
37001,2016,North Carolina,37,"Alamance County, NC","159,325",14.47906412,2.183259625,10.70242868,19.24917494,Small Metro,5
37001,2017,North Carolina,37,"Alamance County, NC","162,391",24.3842418,3.12940044,18.82497998,31.08173281,Small Metro,5
37003,2003,North Carolina,37,"Alexander County, NC","34,998",11.22596687,2.307749716,7.539824721,16.55147116,Medium Metro,5
37003,2004,North Carolina,37,"Alexander County, NC","35,343",13.62670714,2.7475867,9.208929543,19.94036621,Medium Metro,5
37003,2005,North Carolina,37,"Alexander County, NC","35,786",13.92469591,2.797461247,9.419843941,20.34610256,Medium Metro,5
37003,2006,North Carolina,37,"Alexander County, NC","36,243",17.61779255,3.438972044,12.02866266,25.46543002,Medium Metro,5
37003,2007,North Carolina,37,"Alexander County, NC","36,609",18.83639302,3.64061308,12.9041313,27.13043231,Medium Metro,5
37003,2008,North Carolina,37,"Alexander County, NC","36,840",18.51470557,3.583048828,12.67614547,26.67762415,Medium Metro,5
37003,2009,North Carolina,37,"Alexander County, NC","37,053",22.71101798,4.264847124,15.69972252,32.37005417,Medium Metro,5
37003,2010,North Carolina,37,"Alexander County, NC","37,192",20.49774066,3.905207393,14.10012018,29.36295716,Medium Metro,5
37003,2011,North Carolina,37,"Alexander County, NC","37,039",21.55518572,4.079264923,14.85991877,30.8039869,Medium Metro,5
37003,2012,North Carolina,37,"Alexander County, NC","36,940",16.98699815,3.323628984,11.59136323,24.57627999,Medium Metro,5
37003,2013,North Carolina,37,"Alexander County, NC","37,091",20.73481262,3.945815597,14.27057905,29.69208049,Medium Metro,5
37003,2014,North Carolina,37,"Alexander County, NC","37,092",20.89917115,3.973715578,14.39341046,29.92326639,Medium Metro,5
37003,2015,North Carolina,37,"Alexander County, NC","37,058",27.70456717,5.034741158,19.34728309,39.02979706,Medium Metro,5
37003,2016,North Carolina,37,"Alexander County, NC","37,270",25.45330061,4.689169166,17.70108093,36.03097239,Medium Metro,5
37003,2017,North Carolina,37,"Alexander County, NC","37,286",25.18417433,4.647529844,17.50419966,35.67129693,Medium Metro,5
