DATE,37001,37003,37005,37007,37009,37011,37013,37015,37017,37019,37021,37023,37025,37027,37029,37031,37033,37035,37037,37039,37041,37043,37045,37047,37049,37051,37053,37055,37057,37059,37061,37063,37065,37067,37069,37071,37073,37075,37077,37079,37081,37083,37085,37087,37089,37091,37093,37095,37097,37099,37101,37103,37105,37107,37109,37111,37113,37115,37117,37119,37121,37123,37125,37127,37129,37131,37133,37135,37137,37139,37141,37143,37145,37147,37149,37151,37153,37155,37157,37159,37161,37163,37165,37167,37169,37171,37173,37175,37177,37179,37181,37183,37185,37187,37189,37191,37193,37195,37197,37199
2001,4617488,727224,311598,764382,665920,554709,1731955,833703,1753537,2886158,8464593,2730841,6730452,2400058,151240,1712361,304787,7534469,1655818,659923,463688,185168,2921056,1389264,3779529,11939920,437578,1839615,3822414,833657,2297696,16895414,2004378,22097485,908434,5712971,169725,210444,2118842,397810,27639320,1348987,1801852,1331070,2903593,692783,788089,193544,5112023,1031844,3798495,220005,2655293,2352288,1536703,1709594,858175,376648,842046,56262349,541925,745688,2486850,3990472,7995325,523237,5287773,5655955,241751,1140956,759578,199999,1643466,5538286,399696,3818751,1356294,3236021,3324856,4098205,1781483,1992350,1171402,1507282,1150087,2432979,409022,973504,116828,4558842,1436247,37325859,315273,265368,1493634,4333114,2644198,4172320,711875,349036
2002,4834509,741565,338114,743639,714771,585842,1634741,730336,1441596,2828050,8670482,2788406,7007875,2477596,153930,1764577,310575,7480481,1638649,676599,469284,194511,2834673,1366395,3744701,12455911,502294,1941346,3943403,840817,2013041,17889493,1930752,20854955,929889,5868145,175309,222350,2129775,368051,28530362,1368082,1821849,1417356,3052783,739441,779814,195399,5259285,1076950,4024327,182007,2770734,2347971,1625668,1790364,919638,376064,856873,57683640,523361,790058,2490235,4017111,8205474,508834,5152959,5749248,248199,1185763,763142,194993,1680606,5549119,422579,3859931,1365788,3081028,3174241,4209869,1784633,1813796,1138328,1507849,1240432,2435885,431048,1041076,112024,4405396,1405184,38242240,306107,249578,1548297,4174630,2419513,4079761,738331,361865
2003,4808885,759281,325909,711732,693641,561018,1622785,770298,1753971,2910903,8948521,2719430,7184686,2428044,154605,1813233,322442,7277221,1579585,650101,479006,192431,2918114,1315030,3884594,12808237,551189,2072960,3856590,823982,2094415,19271335,1962857,21225134,974497,5854832,187518,226297,2096000,394044,28625465,1422218,1815967,1411769,3024847,716279,934744,204568,5473986,1088401,4282278,166895,2931762,2255260,1630422,1605252,920386,370574,828333,61453788,524218,746184,2397500,4077237,8482436,563070,5373403,5789044,252958,1396451,784575,212484,1601497,5543388,425492,3833641,1310442,3283426,3075400,4093535,1762922,1927284,1082754,1494046,964452,2371906,453954,916593,100279,4522495,1368392,39140540,313444,257033,1594444,4105858,2344052,3973437,712522,346438
2004,5088884,791415,320393,747776,706040,545986,1410517,872839,2060841,3281544,9286016,2847274,7269485,2432303,151131,1869700,324688,7640997,1668307,647157,490290,196663,3020569,1338573,4067860,13144903,567791,2148087,3839264,877008,2337261,19566768,2033645,21891267,1034066,6088162,174712,213856,1876301,425122,27995247,1442275,1985967,1449169,3098635,743358,1126771,203630,5807500,1129254,4321608,211841,3037189,2229254,1692881,1534814,951800,386731,855213,65711322,546714,779241,2514197,4043598,8734049,545036,5810547,6050984,256486,1467244,866112,208662,1667796,5679176,431323,4013915,1445909,3576415,3104072,4216820,1763274,2072900,1163375,1569314,1177320,2458543,464636,843591,107265,4758080,1362372,41122276,342374,273952,1676371,4325566,2408015,3840349,771858,349745
2005,5117843,792174,328989,729088,704897,574910,1518767,894379,2213573,3470526,9625818,2855712,7089210,2346470,179992,1951030,310909,7746757,1854255,697429,517521,207088,3122970,1428392,4282287,14049197,574227,2211708,3869502,915220,2375424,21243642,2018192,22548660,1100094,6163502,182835,215258,1872555,382091,28744128,1443367,2039928,1440353,3186127,741147,1212627,218271,6110033,1184699,4554337,226955,3163697,2271840,1751322,1558395,967117,382826,865238,72183895,553458,810923,2657164,4163220,9490858,584072,6180950,6253406,276083,1536404,924467,234443,1581950,6058305,434803,4043804,1488900,3627052,3135666,4352109,1735337,2093018,1189034,1646346,1089132,2433490,477792,846629,106293,5064446,1292787,43439846,316640,269338,1733650,4354185,2355951,4037099,796642,364157
2006,5385108,830892,333746,776705,759574,558250,1640219,971445,2596961,3343060,9967184,2982039,7529117,2334976,195109,1929026,345642,8083482,2076316,723502,524676,215894,3297133,1496097,4388128,14425785,508656,1779350,3989455,975814,2607407,26845534,2063953,23592707,1262966,6506097,192208,221721,2011471,376744,29862951,1522895,2149388,1509385,3383938,755088,1308360,213466,6382430,1235409,4828920,223508,3328717,2312202,1876714,1647856,991551,389723,869975,76583967,533847,821391,2657784,4454669,10047174,608270,6401531,6474157,289342,1551822,958365,256805,1686582,6569259,453640,4240366,1562058,3971976,3426659,4608828,1768779,2155175,1244952,1656109,1186405,2511785,484126,860493,113431,5587366,1349154,45624929,326548,275978,1815090,4496479,2625928,4358351,835721,383523
2007,5306622,795721,319131,762762,709296,568592,1827393,953490,2186378,3367751,9887063,2795639,7530903,2239431,206810,1909872,324663,7960296,2155193,674933,486650,201446,3307539,1458488,4420183,14891529,518976,1693363,3908022,945793,2619921,29072376,2007441,22574461,1369468,6391111,174195,214330,2271896,397963,30253350,1483464,2051183,1524660,3206187,751847,942724,217991,6367136,1230236,4922619,205104,3513891,2289447,1930818,1687454,940234,375424,781090,77729122,507699,765996,2582603,4504163,10606076,593429,6842736,6444164,286009,1489056,1001384,230786,1679000,6880965,442433,4126260,1512828,3987015,3368478,4445366,1695837,2092964,1108493,1589954,1163479,2363035,488730,830730,104869,5682132,1338390,47265688,313658,278621,1806539,4534196,2529742,4406146,780109,361467
2008,5264265,704146,315367,747384,719237,551919,1835064,829012,1481723,3327242,10018734,2744146,6871609,2167487,291525,1967886,336127,7738255,1854575,674604,452691,187881,3237732,1451385,4443973,15567433,514735,1672848,4055155,919558,2700317,29968485,1883645,23286627,1341387,6332063,158047,215793,2419226,433038,31340804,1396633,2043130,1459152,3176487,756059,872635,195166,6341920,1206037,4288606,173114,3448338,2280800,1858713,1710726,930243,364715,723512,86138368,480484,703231,2583594,4451874,10611769,542510,7505146,6605109,284405,1475406,1006720,217382,1682753,7024634,452339,3906687,1414537,3669707,3336687,4413987,1651853,1974736,1077242,1536968,1243256,2283803,469099,851855,98171,5407488,1335365,49125938,364974,292073,1842377,4613860,2391871,4466449,770609,348389
2009,4902628,665316,302721,720969,722278,555120,1819790,837230,1075150,3208766,9596725,2629980,6214664,2085554,251317,1925530,345344,7308150,1733915,656435,444859,174167,2970373,1413993,4392026,15949695,486232,1573177,3993094,829085,2642255,28833110,1831596,22527645,1319993,5904323,160131,216063,2496972,464103,30460316,1386206,1926194,1443017,2966659,759396,1249818,200293,5889198,1129149,4074136,183109,3371040,2190613,1715024,1714095,880938,359509,723344,78247309,455759,663704,2535562,4280359,10044830,555056,8044826,6424313,274924,1394950,968240,215616,1725234,7065211,431032,3765281,1402705,3524507,3277853,4159958,1491818,1946790,1052528,1472706,1288253,2181494,511950,797621,95103,4990085,1280314,46823322,365615,298125,1769248,4594678,2406821,4463947,773022,333079
