full_name,birthday,gender,type,party
Sherrod Brown,1952-11-09,M,sen,Democrat
Maria Cantwell,1958-10-13,F,sen,Democrat
Benjamin L. Cardin,1943-10-05,M,sen,Democrat
Thomas R. Carper,1947-01-23,M,sen,Democrat
"Robert P. Casey, Jr.",1960-04-13,M,sen,Democrat
Dianne Feinstein,1933-06-22,F,sen,Democrat
Amy Klobuchar,1960-05-25,F,sen,Democrat
Robert Menendez,1954-01-01,M,sen,Democrat
Bernard Sanders,1941-09-08,M,sen,Independent
Debbie Stabenow,1950-04-29,F,sen,Democrat
Jon Tester,1956-08-21,M,sen,Democrat
Sheldon Whitehouse,1955-10-20,M,sen,Democrat
John Barrasso,1952-07-21,M,sen,Republican
Roger F. Wicker,1951-07-05,M,sen,Republican
Lamar Alexander,1940-07-03,M,sen,Republican
Susan M. Collins,1952-12-07,F,sen,Republican
John Cornyn,1952-02-02,M,sen,Republican
Richard J. Durbin,1944-11-21,M,sen,Democrat
Michael B. Enzi,1944-02-01,M,sen,Republican
Lindsey Graham,1955-07-09,M,sen,Republican
James M. Inhofe,1934-11-17,M,sen,Republican
Mitch McConnell,1942-02-20,M,sen,Republican
Jeff Merkley,1956-10-24,M,sen,Democrat
Jack Reed,1949-11-12,M,sen,Democrat
James E. Risch,1943-05-03,M,sen,Republican
Pat Roberts,1936-04-20,M,sen,Republican
Jeanne Shaheen,1947-01-28,F,sen,Democrat
Tom Udall,1948-05-18,M,sen,Democrat
Mark R. Warner,1954-12-15,M,sen,Democrat
Kirsten E. Gillibrand,1966-12-09,F,sen,Democrat
Christopher A. Coons,1963-09-09,M,sen,Democrat
"Joe Manchin, III",1947-08-24,M,sen,Democrat
Robert B. Aderholt,1965-07-22,M,rep,Republican
Justin Amash,1980-04-18,M,rep,Independent
Tammy Baldwin,1962-02-11,F,sen,Democrat
Karen Bass,1953-10-03,F,rep,Democrat
Michael F. Bennet,1964-11-28,M,sen,Democrat
Gus M. Bilirakis,1963-02-08,M,rep,Republican
Rob Bishop,1951-07-13,M,rep,Republican
"Sanford D. Bishop, Jr.",1947-02-04,M,rep,Democrat
Marsha Blackburn,1952-06-06,F,sen,Republican
Earl Blumenauer,1948-08-16,M,rep,Democrat
Richard Blumenthal,1946-02-13,M,sen,Democrat
Roy Blunt,1950-01-10,M,sen,Republican
John Boozman,1950-12-10,M,sen,Republican
Kevin Brady,1955-04-11,M,rep,Republican
Mo Brooks,1954-04-29,M,rep,Republican
Vern Buchanan,1951-05-08,M,rep,Republican
Larry Bucshon,1962-05-31,M,rep,Republican
Michael C. Burgess,1950-12-23,M,rep,Republican
Richard Burr,1955-11-30,M,sen,Republican
G. K. Butterfield,1947-04-27,M,rep,Democrat
Ken Calvert,1953-06-08,M,rep,Republican
Shelley Moore Capito,1953-11-26,F,sen,Republican
André Carson,1974-10-16,M,rep,Democrat
John R. Carter,1941-11-06,M,rep,Republican
Bill Cassidy,1957-09-28,M,sen,Republican
Kathy Castor,1966-08-20,F,rep,Democrat
Steve Chabot,1953-01-22,M,rep,Republican
Judy Chu,1953-07-07,F,rep,Democrat
David N. Cicilline,1961-07-15,M,rep,Democrat
Yvette D. Clarke,1964-11-21,F,rep,Democrat
Wm. Lacy Clay,1956-07-27,M,rep,Democrat
Emanuel Cleaver,1944-10-26,M,rep,Democrat
James E. Clyburn,1940-07-21,M,rep,Democrat
Steve Cohen,1949-05-24,M,rep,Democrat
Tom Cole,1949-04-28,M,rep,Republican
K. Michael Conaway,1948-06-11,M,rep,Republican
Gerald E. Connolly,1950-03-30,M,rep,Democrat
Jim Cooper,1954-06-19,M,rep,Democrat
Jim Costa,1952-04-13,M,rep,Democrat
Joe Courtney,1953-04-06,M,rep,Democrat
Mike Crapo,1951-05-20,M,sen,Republican
"Eric A. ""Rick"" Crawford",1966-01-22,M,rep,Republican
Henry Cuellar,1955-09-19,M,rep,Democrat
Danny K. Davis,1941-09-06,M,rep,Democrat
Susan A. Davis,1944-04-13,F,rep,Democrat
Peter A. DeFazio,1947-05-27,M,rep,Democrat
Diana DeGette,1957-07-29,F,rep,Democrat
Rosa L. DeLauro,1943-03-02,F,rep,Democrat
Scott DesJarlais,1964-02-21,M,rep,Republican
Theodore E. Deutch,1966-05-07,M,rep,Democrat
Mario Diaz-Balart,1961-09-25,M,rep,Republican
Lloyd Doggett,1946-10-06,M,rep,Democrat
Michael F. Doyle,1953-08-05,M,rep,Democrat
Jeff Duncan,1966-01-07,M,rep,Republican
Eliot L. Engel,1947-02-18,M,rep,Democrat
Anna G. Eshoo,1942-12-13,F,rep,Democrat
"Charles J. ""Chuck"" Fleischmann",1962-10-11,M,rep,Republican
Bill Flores,1954-02-25,M,rep,Republican
Jeff Fortenberry,1960-12-27,M,rep,Republican
Virginia Foxx,1943-06-29,F,rep,Republican
Marcia L. Fudge,1952-10-29,F,rep,Democrat
John Garamendi,1945-01-24,M,rep,Democrat
Cory Gardner,1974-08-22,M,sen,Republican
Bob Gibbs,1954-06-14,M,rep,Republican
Louie Gohmert,1953-08-18,M,rep,Republican
Paul A. Gosar,1958-11-22,M,rep,Republican
Kay Granger,1943-01-18,F,rep,Republican
Chuck Grassley,1933-09-17,M,sen,Republican
Sam Graves,1963-11-07,M,rep,Republican
Tom Graves,1970-02-03,M,rep,Republican
Al Green,1947-09-01,M,rep,Democrat
H. Morgan Griffith,1958-03-15,M,rep,Republican
Raúl M. Grijalva,1948-02-19,M,rep,Democrat
Brett Guthrie,1964-02-18,M,rep,Republican
Andy Harris,1957-01-25,M,rep,Republican
Vicky Hartzler,1960-10-13,F,rep,Republican
Alcee L. Hastings,1936-09-05,M,rep,Democrat
Martin Heinrich,1971-10-17,M,sen,Democrat
Jaime Herrera Beutler,1978-11-03,F,rep,Republican
Brian Higgins,1959-10-06,M,rep,Democrat
James A. Himes,1966-07-05,M,rep,Democrat
Mazie K. Hirono,1947-11-03,F,sen,Democrat
John Hoeven,1957-03-13,M,sen,Republican
Steny H. Hoyer,1939-06-14,M,rep,Democrat
Bill Huizenga,1969-01-31,M,rep,Republican
Sheila Jackson Lee,1950-01-12,F,rep,Democrat
Bill Johnson,1954-11-10,M,rep,Republican
Eddie Bernice Johnson,1935-12-03,F,rep,Democrat
"Henry C. ""Hank"" Johnson, Jr.",1954-10-02,M,rep,Democrat
Ron Johnson,1955-04-08,M,sen,Republican
Jim Jordan,1964-02-17,M,rep,Republican
Marcy Kaptur,1946-06-17,F,rep,Democrat
William R. Keating,1952-09-06,M,rep,Democrat
Mike Kelly,1948-05-10,M,rep,Republican
Ron Kind,1963-03-16,M,rep,Democrat
Peter T. King,1944-04-05,M,rep,Republican
Steve King,1949-05-28,M,rep,Republican
Adam Kinzinger,1978-02-27,M,rep,Republican
Doug Lamborn,1954-05-24,M,rep,Republican
James R. Langevin,1964-04-22,M,rep,Democrat
James Lankford,1968-03-04,M,sen,Republican
Rick Larsen,1965-06-15,M,rep,Democrat
John B. Larson,1948-07-22,M,rep,Democrat
Robert E. Latta,1956-04-18,M,rep,Republican
Patrick J. Leahy,1940-03-31,M,sen,Democrat
Barbara Lee,1946-07-16,F,rep,Democrat
Mike Lee,1971-06-04,M,sen,Republican
John Lewis,1940-02-21,M,rep,Democrat
Daniel Lipinski,1966-07-15,M,rep,Democrat
David Loebsack,1952-12-23,M,rep,Democrat
Zoe Lofgren,1947-12-21,F,rep,Democrat
Billy Long,1955-08-11,M,rep,Republican
Nita M. Lowey,1937-07-05,F,rep,Democrat
Frank D. Lucas,1960-01-06,M,rep,Republican
Blaine Luetkemeyer,1952-05-07,M,rep,Republican
Ben Ray Luján,1972-06-07,M,rep,Democrat
Stephen F. Lynch,1955-03-31,M,rep,Democrat
Carolyn B. Maloney,1946-02-19,F,rep,Democrat
Kenny Marchant,1951-02-23,M,rep,Republican
Edward J. Markey,1946-07-11,M,sen,Democrat
Doris O. Matsui,1944-09-25,F,rep,Democrat
Kevin McCarthy,1965-01-26,M,rep,Republican
