B000944|400050|S307|Sherrod||Brown|1952-11-09|M|Lutheran
C000127|300018|S275|Maria||Cantwell|1958-10-13|F|Roman Catholic
C000141|400064|S308|Benjamin|L.|Cardin|1943-10-05|M|Jewish
C000174|300019|S277|Thomas|Richard|Carper|1947-01-23|M|Presbyterian
C001070|412246|S309|Robert|P.|Casey|1960-04-13|M|
C001071|412248|S310|Bob||Corker|1952-08-24|M|
F000062|300043|S221|Dianne||Feinstein|1933-06-22|F|Jewish
H000338|300052|S118|Orrin|G.|Hatch|1934-03-22|M|Latter Day Saints
K000367|412242|S311|Amy|Jean|Klobuchar|1960-05-25|F|
M001170|412243|S312|Claire||McCaskill|1953-07-24|F|
M000639|400272|S306|Robert||Menéndez|1954-01-01|M|Roman Catholic
N000032|300078|S282|Bill||Nelson|1942-09-29|M|Presbyterian
S000033|400357|S313|Bernard||Sanders|1941-09-08|M|Jewish
S000770|300093|S284|Debbie|Ann|Stabenow|1950-04-29|F|United Methodist
T000464|412244|S314|Jon||Tester|1956-08-21|M|
W000802|412247|S316|Sheldon||Whitehouse|1955-10-20|M|
B001261|412251|S317|John|A.|Barrasso|1952-07-21|M|
W000437|400432|S318|Roger|F.|Wicker|1951-07-05|M|Southern Baptist
A000360|300002|S289|Lamar||Alexander|1940-07-03|M|Presbyterian
C000567|300023|S136|Thad||Cochran|1937-12-07|M|Baptist
C001035|300025|S252|Susan|M.|Collins|1952-12-07|F|Catholic
C001056|300027|S287|John||Cornyn|1952-02-02|M|Church of Christ
D000563|300038|S253|Richard|J.|Durbin|1944-11-21|M|Roman Catholic
E000285|300041|S254|Michael|B.|Enzi|1944-02-01|M|Presbyterian
G000359|300047|S293|Lindsey|O.|Graham|1955-07-09|M|Southern Baptist
I000024|300055|S236|James|M.|Inhofe|1934-11-17|M|Presbyterian
M000355|300072|S174|Mitch||McConnell|1942-02-20|M|Baptist
M001176|412325|S322|Jeff||Merkley|1956-10-24|M|
R000122|300081|S259|John|F.|Reed|1949-11-12|M|Roman Catholic
R000584|412322|S323|James||Risch|1943-05-03|M|
R000307|300083|S260|Pat||Roberts|1936-04-20|M|Methodist
S001181|412323|S324|Jeanne||Shaheen|1947-01-28|F|
U000039|400413|S326|Tom|S.|Udall|1948-05-18|M|Latter Day Saints
W000805|412321|S327|Mark||Warner|1954-12-15|M|
G000555|412223|S331|Kirsten|E.|Gillibrand|1966-12-09|F|
F000457|412378|S332|Alan|Stuart|Franken|1951-05-21|M|
C001088|412390|S337|Chris|Andrew|Coons|1963-09-09|M|
M001183|412391|S338|Joe||Manchin|1947-08-24|M|
A000055|400004||Robert|B.|Aderholt|1965-07-22|M|Protestant
A000367|412438||Justin||Amash|1980-04-18|M|
B001230|400013|S354|Tammy||Baldwin|1962-02-11|F|
B001269|412469||Lou||Barletta|1956-01-28|M|
B000213|400018||Joe|Linus|Barton|1949-09-15|M|Methodist
B001270|412404||Karen||Bass|1953-10-03|F|
B001267|412330|S330|Michael|F.|Bennet|1964-11-28|M|
B001257|412250||Gus|M.|Bilirakis|1963-02-08|M|
B001250|400029||Rob||Bishop|1951-07-13|M|Latter Day Saints
B000490|400030||Sanford|D.|Bishop|1947-02-04|M|Baptist
B001273|412478||Diane||Black|1951-01-16|F|
B001243|400032||Marsha|W.|Blackburn|1952-06-06|F|Presbyterian
B000574|400033||Earl||Blumenauer|1948-08-16|M|
B001277|412490|S341|Richard||Blumenthal|1946-02-13|M|
B000575|400034|S342|Roy||Blunt|1950-01-10|M|Baptist
B001236|400040|S343|John||Boozman|1950-12-10|M|
B001245|400041||Madeleine|Z.|Bordallo|1933-05-31|F|Catholic
B000755|400046||Kevin|P.|Brady|1955-04-11|M|Catholic
B001227|400047||Robert|Alan|Brady|1945-04-07|M|
B001274|412395||Mo||Brooks|1954-04-29|M|
B001260|412196||Vern||Buchanan|1951-05-08|M|
B001275|412427||Larry||Bucshon|1962-05-31|M|
B001248|400052||Michael|C.|Burgess|1950-12-23|M|Episcopalian
B001135|400054|S300|Richard|M.|Burr|1955-11-30|M|Methodist
B001251|400616||George|Kenneth|Butterfield|1947-04-27|M|Baptist
C000059|400057||Ken|S.|Calvert|1953-06-08|M|Protestant
C001047|400061|S372|Shelley|Moore|Capito|1953-11-26|F|Presbyterian
