sex,unknown,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,272,272,272,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0
1,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,175,0,175,0,0,0,0,0,0,0,175,0,0
0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,403,0,0,0
0,0,0,0,0,59,59,0,0,59,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,184,0
1,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,181,0,0
0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,51,0,0
0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,98,0,0,0,0,0,98,0,0,0,0
0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,140,0,0,0,0
1,0,28,0,0,0,28,28,0,0,0,0,28,0,0,0,0,28,0,0
0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0
0,0,179,179,0,0,179,0,0,0,0,0,0,179,0,0,0,179,0,0
1,0,128,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,128,0
1,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,151,0,0
0,0,68,68,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,79,0,0,0,0,0,0,79,0,0,0,0,0,0,0,79,0,0
0,0,34,34,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,36,36,0
0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0
1,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0
1,0,0,25,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0
1,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,121,0,0
0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,0,22,0,0,0
0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,221,0,0
0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,151,0,0
1,0,0,0,0,0,48,0,0,48,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,215,0,0,0,0
0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,24,24,0,24,0
1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,0,0,23,23
0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
0,0,65,0,0,0,0,0,0,65,0,0,0,0,0,0,0,65,0,0
0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,21,0,21,0,0
0,0,0,0,0,0,0,187,0,187,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
0,0,232,232,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0
0,0,0,0,0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,80,0,0,80,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,38,0,0,0,0
0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,0,0
0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,65,0,0,65,0
0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,131,0,0,0,0
1,0,0,0,38,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0
0,0,0,0,0,0,137,137,0,0,137,0,0,0,0,0,0,0,0,0
0,0,66,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,66
0,0,39,0,0,0,39,0,0,39,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,82,0,82,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,72,0,0
1,0,0,21,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0
1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0
0,0,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,29,0
0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,58,0,0,0,0
0,0,168,168,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0
0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,155,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,68,0,0,0
0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,21,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,76,0,0,0
0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,300,0,300,0,0
0,0,0,0,0,98,98,0,0,0,0,0,0,98,0,0,0,0,0,0
0,0,388,0,0,0,0,388,0,0,0,0,0,0,0,388,0,0,0,0
0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,278,278,278,0,0,0,0,0,0,278,0,0,0,0,0,0
0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0
1,0,0,63,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,63
